판매처,위도,경도,주소,연락처
(서울금천)진일보_독산동,37.476146,126.903990,"서울특별시 금천구 문성로 2101호, 102호(독산동, 노블에스테이트)",
(서울노원)비젼텔레콤_공릉동,37.632476,127.074599,서울특별시 노원구 공릉로 1491층,
(서울노원)수락원텔레콤_상계동,37.654339,127.062696,서울특별시 노원구 동일로 1701106호,
(서울서초)지인샵_서초,37.483270,127.007725,서울특별시 서초구 효령로 3043층 3122호,
(서울서초)휴대폰아울렛_방배,37.489107,126.997500,서울특별시 서초구 서초대로 141층 휴대폰아울렛,
(서울송파)유앤유_마천,37.492994,127.112326,서울 송파구 마천동20번지 신동아아파트_101 상가동 102호,
(서울양천)케이_신정동,37.519526,126.852866,서울특별시 양천구 중앙로 2801층,
(서울영등포)월드스타_영등포,37.523278,126.890461,서울특별시 영등포구 영등포로 2191층,
(서울영등포)준텔레콤_영등포,37.515471,126.906682,서울특별시 영등포구 경인로 846영등포지하상가16호준텔레콤,
(서울은평)모바일SC_응암동,37.586156,126.918986,서울특별시 은평구 가좌로7길 281층 103호,
(서울중랑)휴대폰성지원조폰_망우,37.601036,127.102224,"서울 중랑구 용마산로118길 31,1층 (망우동)",
(인천계양)미니텔레콤1호점_작전동,37.532438,126.724881,인천광역시 계양구 작전시장로 20덕산빌딩 1층 미니텔레콤,
(인천계양)미니텔레콤2호점_작전동,37.532571,126.724430,인천광역시 계양구 작전시장로 81층 나호,
(인천계양)일루텔레콤_작전동,37.527517,126.722298,인천광역시 계양구 효서로 2811층,
(인천남구)골드문텔레콤_용현동,37.453335,126.637174,인천광역시 남구 낙섬서로50번길 21층,
(인천남구)청아텔레콤_문학동,37.437112,126.685756,인천광역시 남구 소성로350번길 2국일상가 103호,
(인천남동)맹호모바일_논현동,37.408731,126.729414,인천광역시 남동구 논고개로 611층 112호,
(인천남동)모아텔레콤_간석동,37.457301,126.698919,인천광역시 남동구 구월로 75-1간석동 510-31 1층 모아텔레콤,
(인천남동)새롬정보통신_만수,37.460381,126.725313,인천광역시 남동구 백범로 216가호1층,
(인천남동)수 모바일_논현동,37.408731,126.729414,인천광역시 남동구 논고개로 77101호,
(인천남동)유아이(UI)정보통신_간석,37.466438,126.694527,인천광역시 남동구 석정로 5011층 101호,
(인천남동)주연정보통신_논현동,37.403116,126.737332,인천광역시 남동구 포구로 77105호,
(인천남동)테마이동통신_간석동,37.461288,126.706037,인천광역시 남동구 석산로 1662동 1층 101호,
(인천남동)해리포터모바일_논현,37.398893,126.723613,인천광역시 남동구 앵고개로847번길 80-9107호,
(인천동구)혜성모바일_창영동,37.470007,126.640729,인천광역시 동구 샛골로73번길 4101호,
(인천미추홀)말포이모바일_주안,37.465824,126.684293,인천광역시 미추홀구 석정로440번길 201층 102호,
(인천미추홀)스카이통신_용현동,37.452054,126.637330,인천광역시 미추홀구 토금중로40번길 41층,
(인천미추홀)주연정보통신_용현동,37.457746,126.649179,인천광역시 미추홀구 독배로 417463-38 sk텔레콤 주연정보통신,
(인천미추홀)지환모바일_용현,37.448987,126.643765,인천광역시 미추홀구 용정공원로 33A-4동 106호,
(인천미추홀)크라운통신_도화,37.461988,126.669946,인천광역시 미추홀구 경인로 지하12533호,
(인천미추홀)테마_학익,37.444068,126.657802,인천광역시 미추홀구 매소홀로 3661층,
(인천미추홀)패밀리모바일_주안,37.475553,126.667701,인천광역시 미추홀구 염전로 414상가동 1층 105호,
(인천부평)나누리정보통신_부평,37.504661,126.730869,인천광역시 부평구 장제로 1551층 sk텔레콤,
(인천부평)주식회사 순백스토어_부평역점,37.485571,126.710378,인천광역시 부평구 경원대로 1415105호,
(인천부평)프리스모바일_부평,37.497933,126.721853,인천광역시 부평구 부흥로 342102호,
(인천서구)띵똥모바일_원당,37.594135,126.710788,인천광역시 서구 이음5로 392동113호,
(인천서구)주식회사 한얼정보통신_심곡,37.543804,126.676220,인천광역시 서구 탁옥로 541층,
(인천서구)휴대폰성지크크_심곡,37.543804,126.676220,"인천광역시 서구 탁옥로 311층 105호(심곡동, 태영프라자)",
(인천연수)소리샘_옥련동,37.426209,126.656383,인천광역시 연수구 한나루로 1871층 소리샘옥련,
(인천연수)테마이동통신_동춘동,37.406592,126.671838,인천광역시 연수구 앵고개로264번길 181층,
(인천중구)베스트텔레콤_답동,37.473305,126.629641,인천광역시 중구 우현로 지하 67120호,
(인천중구)싸이버텔레콤_인현동,37.474896,126.630780,인천광역시 중구 참외전로 지하 123새인천지하상가 1호.101호.102호,
(인천중구)제이모바일_영종,37.508736,126.530612,"인천 중구 자연대로 41,111호 (중산동,영종스카이스타)",
(인천중구)행복폰_동인천,37.471576,126.628361,"인천광역시 중구 우현로 지하69124, 126호",
(본점소속)김량호,37.398762,126.924094,,
(본점소속)정호식,37.398762,126.924094,,
(본점소속)박상효,37.398762,126.924094,,
(본점소속)임경승,37.398762,126.924094,,
(경기남양주)착한통신 마석점,37.658299,127.300629,"경기도 남양주시 화도읍 맷돌로 93, 101호",031-559-9994
(서울은평)HSJ (이마트 응암점),37.599991,126.919029,"서울 은평구 은평로 101,107호 (응암동,응암연립)",02-6497-5124
(인천남동)돈돈모바일_남촌,37.431603,126.715967,인천광역시 남동구 남촌동로25번길 11 1층,010-6664-1311
(인천동구)비제이모바일_만석동,37.485204,126.621242,인천광역시 동구 화도진로 187 A동 105호,032-765-8011
(경기부천)케이모바일 원종2호점,37.522872,126.807171,"경기도 부천시 오정구 소사로 748, 1층 101호",032-673-1203
(경기부천)케이모바일 원종점,37.522855,126.804577,"경기도 부천시 소사로 747, 1층",032-511-1203
(서울양천)문모바일_신월동,37.521522,126.832768,"서울특별시 양천구 지양로7길 12, 1층",070-8614-8810
(인천남동)노랑모바일 만수점,37.443243,126.738504,인천광역시 남동구 담방로 39 1층 112호 코너,032-472-8947
(경기화성)착한통신 향남점,37.114768,126.910994,경기도 화성시 향남읍 상신하길로298번길 11 110호,010-7474-7577
(서울노원)SUN모바일,37.669327,127.080554,서울특별시 노원구 덕릉로 814 1층,010-7559-5500
(서울노원)썬모바일(공릉점),37.623319,127.080425,서울특별시 노원구 공릉로38길 17 1층핸드폰쇼핑몰,010-9345-4622
(경기고양)지오텔레콤_주교동,37.656761,126.835988,"경기도 고양시 덕양구 호국로789번길 3, 1층 2호",031-593-2222
(경기양주)성지모바일_옥정동,37.822223,126.092099,경기도 양주시 옥정로6길 8 뉴블리움 116호,031-866-8326
(서울강동)털보네_천호,37.535253,127.132616,"서울특별시 강동구 천호대로 1092, 1층 109-2호",010-3366-0399
(경기부천)제이에스통신_원미,37.491816,126.786561,경기도 부천시 조종로20번길 34 1층,032-210-9357
(경기군포)우리동네1등매장 당동점,37.346791,126.944988,"경기도 군포시 군포로456번길 13 103호, 104호",010-5249-2999
(경기군포)우리동네1등매장 산본점,37.359432,126.931551,경기도 군포시 산본로323번길 16-15 101호,010-5247-2999
(경기군포)우리동네1등매장 군포역점,37.353912,126.946145,경기도 군포시 군포로 535 1층,010-5247-2999
(경기부천)케이모바일 송내점,37.491285,126.752862,"경기도 부천시 상일로 96, 1층 104호",032-322-7801
(경기양주)왕건성지_옥정동,37.814581,127.089661,"경기도 양주시 옥정로 139, 111호",031-867-8326
(인천연수)버스모바일 송도,37.391059,126.648091,"인천 연수구 해돋이로 107, H동 1층 41호 (송도동,더샵퍼스트월드아파트)",010-2421-7298
(경기부천)케이모바일 부천자유시장점,37.483073,126.779723,"경기도 부천시 소사구 경인로 218-1, 1층",032-613-7778
(경기양주)다둥이모바일_광사,37.790688,127.080014,경기도 양주시 고읍남로191번길 85-75 101호,010-7777-2242
(인천남동)케이모바일(논현점),37.402218,126.710115,"인천광역시 남동구 호구포로 218, 103호",032-433-4822
(인천부평)케이모바일 동암점,37.470419,126.707720,"인천 부평구 동암남로 38,1층 (십정동)",010-5154-5772
(인천연수)통큰휴대폰 송도2호,37.401337,126.628928,"인천 연수구 인천타워대로 365, ,A상가(103)동 113호 (송도동,힐스테이트송도더스카이)",032-832-7235
지은대리점 가산 도매 사무실,37.476039,126.885976,,
(강원원주)모바일백프로(강원일반)_원주,37.348760,127.950446,"강원 원주시 원일로 88-1, 2층",010-8297-6000
(경기여주)스마일텔레콤(강원일반)_창동,37.294228,127.635737,경기도 여주시 세종로 42스마일텔레콤,010-9335-6669
(경기여주)엔젤텔레콤(강원일반)_홍문,37.295551,127.635386,경기도 여주시 여흥로 110 1층,010-9052-2018
(경기여주)여주통신(강원일반)_하동,37.300919,127.624217,경기도 여주시 청심로 32(하동),010-8888-3827
(경기여주)폰스토리(강원일반)_하동,37.297622,127.633041,경기도 여주시 우암로 14하동 250-3번지,010-6606-7787
(경기여주)하동모바일(강원일반)_홍문,37.297575,127.636837,경기도 여주시 세종로 41 1층,010-3069-2272
(경기용인)에이맨모바일_기흥구청,37.279950,127.113488,"경기 용인시 기흥구 구갈로60번길 19,105호 (구갈동,금강프라자)",010-8007-0035
(경기화성)도비모바일_병점,37.214573,127.044409,경기도 화성시 병점1로 216-21 111호,010-4223-3706
(경기화성)우리가치_반송,37.208726,127.066409,"경기 화성시 동탄반송3길 30-18,101호 (반송동)",010-4563-8754
(인천부평)진영정보2_산곡,37.503548,126.709586,인천광역시 부평구 안남로222번길 27 101호,010-8882-1554
(서울구로)영원,37.506967,126.890350,,
(강원원주)미성텔레콤(강원일반)_우산,37.367143,127.939095,강원 원주시 우산초교길 15우산동,010-8779-3359
(경기여주)세계통신(강원일반)_홍문,37.295293,127.636083,경기도 여주시 세종로 30-1세계통신,010-4664-8582
(경기여주)광통신(강원일반)_상동,37.295329,127.639048,경기도 여주시 여흥로 142(상동) 광통신,010-6769-8000
(경기고양)착한텔레콤_토당동,37.620087,126.824303,"경기도 고양시 덕양구 지도로 33 1층, 2층",070-8612-071
(강원원주)휴대폰쇼핑몰(강원열정)_무실,37.334374,127.929961,강원 원주시 능라동길 48 109호,010-3262-0210
(경기고양)문텔레콤_행신동,37.623355,126.837032,경기도 고양시 덕양구 중앙로 542세신훼밀리타운107호,070-8612-071
(경기고양)믿음통신_마두,37.654251,126.789767,"경기 고양시 일산동구 일산로 197,마두동 152호 (마두동,센타21)",010-9090-6941
(경기수원)웰컴,37.266147,127.002405,"경기 수원시 팔달구 매산로 2-10,1층 2호 (매산로1가,수원역전시장)",010-5354-7946
(경기이천)뉴코아2,37.280047,127.445998,경기도 이천시 어재연로 42-2 1층,010-5388-7900
(서울동작)바다 텔레콤,37.512473,126.954813,"서울특별시 동작구 노량진로 254, 101호",010-7678-6861
(서울송파)동군텔레콤_문정,37.486848,127.127286,"서울특별시 송파구 송이로32길 37, 201동 3호",010-7999-8882
(서울은평)대산,37.611148,126.916815,"서울 은평구 연서로 137,1호 (구산동,명진빌딩)",070-4388-8709
(인천남동)레전드통신_구월,37.447641,126.703965,"인천 남동구 인주대로604번길 47,103호 (구월동,태을빌딩)",
(인천남동)세븐2호_만수,37.443662,126.737884,인천광역시 남동구 장승남로 51새한빌딩1층,010-9423-7649
(강원원주)휴대폰쇼핑몰(강원열정)_원주태장,37.375380,127.950595,강원 원주시 현충로 243 1층,010-4412-0040
(경기시흥)미르정보_정왕,37.363307,126.730250,경기도 시흥시 함송로 24 1층 123-2호,010-6664-2588
(경기이천)송정본가(강원본가),37.291275,127.449068,"경기도 이천시 증신로 242, 1층",010-5503-3129
(서울성북)95모바일_길음,37.607447,127.023292,"서울 성북구 삼양로 47,(길음동,정일빌딩)",010-7777-4042
(강원원주)다승텔레콤(강원일반)_개운,37.340096,127.964489,강원 원주시 반곡길 17다승텔레콤,010-3579-7900
(강원원주)문막본가(강원본가),37.310882,127.819362,강원 원주시 문막읍 건등로 10-19 1층,010-2000-1745
(강원원주)에스케이엘(강원사무실)_원주,37.318740,127.961272,강원 원주시 관설안길 8,
(경기여주)UM통신(강원일반)_세종,37.295135,127.636678,경기도 여주시 세종로 29 1층,010-3434-8888
(경기여주)구름통신(강원일반)_창동,37.298625,127.634790,"경기 여주시 청심로 129,1층 (창동)",010-8636-7584
(경기여주)비티에프(강원본가)_여주본가,37.276516,127.638090,"경기도 여주시 세종로 243, 1층 휴대폰365아울렛",010-6666-9555
(경기여주)비티에프(강원본가)_하동본가,37.295222,127.630983,"경기도 여주시 우암로 50, 3동 102호(하동)",010-6666-9555
(경기용인)비티에프(강원본가)_용인본가,37.240103,127.171464,"경기도 용인시 처인구 중부대로 1136, 1층",010-6666-9555
(서울노원)95모바일_당고개,37.670847,127.079817,서울 노원구 상계로 309, 010-7777-4042
(서울중구)동대문텔레텍_광희,37.565621,127.006376,"서울시 중구 을지로44길 12, 지하1층 9호",010-8252-8408
(인천연수)휴대폰성지(따르릉)_송도,37.398244,126.648864,"인천 연수구 신송로 164,102호 (송도동,아데니움플라자)",010-3636-2423
(강원원주)쩌니모바일(강원일반)_단구,37.330205,127.949629,"강원특별자치도 원주시 서원대로 406, 112호",010-4619-2858
(경기광주)본앤코리아(강원본가)_오포본가,37.343685,127.212191,경기도 광주시 오포로 501-61층,010-2000-1745
(강원원주)본앤코리아(강원본가)_원주본가,37.347460,127.925940,"강원 원주시 서원대로 111, 101,102호",010-2000-1745
(경기광주)본앤코리아(강원본가)_신현본가,37.356066,127.165324,경기도 광주시 능평로30번길 6-19 1층,010-2000-1745
(인천남동)골드스타본점_만수,37.461627,126.734531,"인천광역시 남동구 만수서로 76, 1층",010-3166-2600
(경기평택)안중폰2,36.984720,126.921267,경기도 평택시 안중읍 안현로서6길 72 101호,010-6685-7776
(인천서구)별마루(따르릉)_청라,37.535100,126.651552,"인천 서구 청라라임로 85,B동 114호 (청라동,청라우미린스트라우스)",010-3129-5882
(경기과천)차칸모바일_별양,37.425447,126.991882,경기 과천시 별양상가2로 35 211호 휴대폰매장,
(경기광주)경서텔레콤_경안,37.409586,127.261271,"경기 광주시 광주대로 30,273호 (경안동,광주터미널)",010-5555-8504
(경기남양주)유가통신_금곡,37.634186,127.208238,"경기도 남양주시 금곡로 45, 1층",010-3007-7526
(경기수원)로이_이의동,37.290884,127.047678,"경기도 수원시 영통구 도청로 95, 1층 212호",010-8977-7555
(경기수원)창고형핸드폰_우만동,37.279004,127.042050,경기도 수원시 팔달구 중부대로239번길 78우만동 54오 2필지,010-6575-7555
(경기안양)휴대폰성지 이노_안양본점,37.401185,126.920702,"경기도 안양시 만안구 안양로320번길 17, 1층 4호",010-9962-3992
(인천부평)휴대폰성지황소_부평,37.506492,126.730564,"인천광역시 부평구 장제로231번길 8, 102호",010-8282-2637
(경기용인)한숲폰,37.153269,127.171669,"경기 용인시 처인구 남사읍 한숲로 60,1동 201호 (처인프라자)",010-2893-6670
(경기화성)와이에이치_반송,37.210141,127.059584,경기도 화성시 동탄지성로 148 103호,010-8793-9333
(서울동작)휴대폰성지 이노_신대방,37.492357,126.925157,"서울 동작구 보라매로5길 5,상가동 140호 (신대방동,보라매우성아파트)",010-3093-4217
(경기남양주)휴대폰성지_진접,37.721692,127.194685,"경기 남양주시 진접읍 해밀예당3로 142,1동 101호",010-9977-0828
(경기수원)대박폰 매교점_세류,37.266273,127.011630,"경기 수원시 권선구 효원로 90,107호 (세류동)",010-5776-1850
(경기안산)썬모바일_본오,37.300695,126.863592,"경기도 안산시 상록구 샘골로 190, 105호",010-2038-3838
(경기평택)초심모바일_이충,37.064173,127.066641,"경기도 평택시 이충로 84-5, 101호",070-4647-4884
(본점소속소사장)송산그린시티점,37.285238,126.817507,"경기 화성시 수노을중앙로 126,1동 1층 103호(새솔동) 송산 나이스 프라자",
(서울강북)정직한스토리,37.615066,127.027490,"서울특별시 강북구 도봉로13길 49, 1층",010-5848-8080
(서울마포)위너 망원시장,37.555078,126.906507,"서울 마포구 망원로8길 53,",032-324-6777
(경기부천)케이모바일현대점_중동,37.503722,126.762676,"경기도 부천시 석천로 181, 104호",070-8834-5772
(경기평택)초심모바일_신장,37.079096,127.050223,"경기도 평택시 신장로 39, 1층",010-6381-7997
(경기김포)김포모바일_풍무,37.611815,126.732658,"경기 김포시 김포대로 703,102호 (풍무동,인선빌딩)",010-8373-1874
(경기김포)대박착한폰_통진,37.691012,126.599423,"경기 김포시 통진읍 조강로 60,1층",010-5651-6525
(경기부천)위너TFK 고강제일점,37.528233,126.813412,"경기도 부천시 오정구 성지로102번길 53, 1층",010-6438-1561
(경기남양주)YJ 컴퍼니_풍산(하남),37.556057,127.182973,경기도 하남시 미사강변서로 45 상가 308동 1층 108호,010-9977-9427
(경기안산)트리플안산_고잔,37.317183,126.838290,경기도 안산시 단원구 중앙대로 915 2층 35호,010-4608-9727
(경기화성)에스원모바일_팔탄,37.167707,126.894781,"경기 화성시 팔탄면 푸른들판로 665,(화성타운)",010-2310-3726
(경기용인)에스피_역북,37.236359,127.189407,"경기 용인시 처인구 중부대로 1299,1층 (역북동,동천빌딩)",031-335-8843
(경기수원)에스피모바일3호점_당수,37.291284,126.940741,"경기도 수원시 권선구  당진로 24,가동(당수덩,외5필지)",031-412-3895
(경기화성)화성모바일_동탄,37.195018,127.097200,"경기 화성시 동탄역로 102,0호 (오산동,동탄린스트라우스더센트럴) 동탄역 린스트라우스 판매시설 1층 1059",010-9645-4528
(경기안양)은지텔레콤_명학,37.385209,126.934139,"경기 안양시 만안구 문예로52번길 27,(안양동)",010-2232-3731
(경기부천)위너 TFK 중동점,37.500443,126.775889,"경기 부천시 원미구 조마루로297번길 61,106호 (중동,금강프라자)",032-324-6777
(경기시흥)주식회사 오션모바일_정왕1호,37.337907,126.750028,경기 시흥시 정왕동 1622-6 신관1층,031-434-3338
(경기안산)주식회사 오션모바일4호점_월피4호,37.328169,126.850756,"경기도 안산시 상록구  충장로 558(월피동,라성8차상가1층106호)",031-490-3519
(경기안산)주식회사 오션모바일 3호점_고잔8호,37.312737,126.830956,"경기도 안산시 단원구  광덕대로 182, 1층 109호(고잔동)",031-489-9738
(경기안산)주식회사 오션모바일2호점_고잔2호,37.347792,126.733901,"경기 시흥시 정왕동 1726-2 광개토빌딩106,107,108호",031-437-0604
(경기안산)에스피모바일 2호점_본오,37.295896,126.872456,"경기 안산시 상록구 각골로 71,1층 (본오동)",010-8843-3743
(경기용인)대박폰_보라,37.253921,127.110638,"경기 용인시 기흥구 한보라2로14번길 4-10,(보라동)",
소매 배정대기,37.398762,126.924094,,
(경기화성)동탄성지폰_영천,37.202916,127.124341,"경기 화성시 동탄치동천로1길 8,102호 (영천동)",070-7543-7795
(서울은평)진모바일_신사,37.598490,126.912078,"서울 은평구 은평로 37,(신사동,신성카센타)",02-6014-4001
(인천미추홀)문모바일간석_주안,37.462460,126.693224,"인천 미추홀구 주안로 226,1동 119호 (주안동,더월드스테이트)",010-6405-5933
(인천부평)듀오텔레콤_부평,37.489710,126.722676,"인천광역시 부평구 광장로 16지하2층 6호, 7호",010-4444-3176
(경기부천)휴대폰성지 이노_부천공삼이,37.508119,126.776411,경기 부천시 원미구 신흥로276번길 15 ,010-9437-4440
(경기이천)모바일랜드_창전,37.280269,127.444999,경기도 이천시 어재연로37번길 10모바일랜드,031-1588-6036
(경기안양)더트리플_안양,37.383992,126.934794,"경기 안양시 만안구 안양로 96,상가동 147호 (안양동,명학역유보라더스마트)",010-4900-2035
(서울강서)성지도매통신_등촌,37.558656,126.845155,"서울 강서구 공항대로41길 18,101호 (등촌동,상가한우리부동산)",010-6442-2923
(강원원주)L.A.S.모바일(강원일반)_단계,37.341080,127.933453,강원특별자치도 원주시 이화1길 50 1층 105호 우측상가,010-7132-0999
(경기평택)성지장당폰_이충,37.052025,127.056402,경기도 평택시 청원로 1200이충동 609-1 금강프라자 1층 폰하우스,031-668-7931
(경기화성)샤넬통신_동탄,37.202914,127.124345,경기도 화성시 동탄치동천로1길 8 102호,
(경기부천)초대박모바일_오정,37.528801,126.786297,"경기 부천시 오정구 오정로 254,1층 106호 (오정동,세종프라자)",010-4504-5608
(경기이천)서희도매통신,37.277544,127.442389,"경기 이천시 어재연로 2,(중리동,유림측량)",010-3849-4916
(본점소속)매장(안양점),37.398964,126.922881,"경기 안양시 만안구 안양로292번길 21,1층 2호(안양동)",
(경기안양)라라폰_석수,37.407446,126.898961,"경기 안양시 만안구 충훈로 83,1층 101,102호 (석수동,남정빌딩)",010-8117-1476
(서울동대문)프로통신 전농,37.567043,127.047182,서울특별시 동대문구 답십리로 56 1층,010-6616-5011
(서울광진)프로통신_군자,37.557420,127.076382,서울특별시 광진구 면목로 37 1층,010-4608-8333
(경기용인)용인텔레콤_기흥,37.274634,127.115188,"경기 용인시 기흥구 기흥역로 9,130호 (구갈동,롯데캐슬레이시티)",010-8869-0337
(경기부천)청년사업단 북교점_심곡,37.493694,126.784511,"경기 부천시 원미구 부천로 105,(심곡동)",010-7777-7882
(서울서대문)폰마트_대현,37.558137,126.943743,"서울 서대문구 이화여대5길 35,1동 4호 (대현동,신촌영타운지웰에스테이트)",010-6666-6270
(경기이천)휴대폰클라쓰_갈산,37.280972,127.456690,"경기 이천시 영창로 306,(갈산동,미광채)",031-631-6011
(경기화성)오늘의휴대폰_영천,37.207831,127.097856,경기도 화성시 동탄대로21길 10더퍼스트타워 115호,
(서울광진)케이씨코퍼레이션_광장,37.548940,127.108366,"서울 광진구 아차산로 634,워커힐케어센터동 301호 (광장동,대오빌딩)",010-4940-8980
(인천미추홀)휴대폰성지(HS)_관교동,37.445530,126.690643,인천광역시 미추홀구 주승로 181 1층 101호,
(경기부천)꿀벌텔레콤_소사본동,37.481633,126.794865,경기 부천시 소사구 소사본동70-16번지 한신더휴메트로 103동 114호,010-7678-6861
(서울동작)노들텔레콤_본동,37.512475,126.954812,"서울 동작구 노량진로 254,(본동,태평빌딩) 1층",010-7557-1452
(강원강릉)퍼팩트통신(강원일반)_강릉,37.780255,128.918030,강원특별자치도 강릉시 산양큰길22번길 47 1층,010-8191-5696
(경기안산)고고폰바고_본오동,37.299854,126.865113,"경기 안산시 상록구 본삼로 38,1동 147호 (본오동,월드상가)",010-7144-0228
(서울양천)흰비텔레콤_신정동,37.520096,126.852492,"서울 양천구 중앙로 267,1호 (신정동,햇빛빌딩)",010-9299-9945
(경기평택)엠티엠인터내셔널_세교,37.502484,127.039216,"서울 강남구 테헤란로33길 11,303호 (역삼동,제이에스빌딩)",010-3234-8447
(신설재고),37.398762,126.924094,,
(경기시흥)케이모바일(대야역점),37.450317,126.794538,경기도 시흥시 은계로 353에이스프라자상가 1층 106호 휴대폰할인매장,010-3339-4999
(경기군포)성지폰_산본동,37.357935,126.931570,"경기 군포시 번영로 489,1층 104호 (산본동,중앙타워)",010-4903-8989
(강원원주)원주휴대폰성지(강원열정)_반곡,37.332592,127.962493,"강원 원주시 늘품로 189,(반곡동) 1층",010-8080-9914
(강원원주)원주휴대폰성지(강원열정)_혁신,37.323978,127.978627,"강원 원주시 혁신로 37-1,반곡빌딩동 106호 (반곡동,반곡빌딩)",010-8119-9714
(서울강동)올리브 통신_성내동,37.535699,127.095765,서울특별시 광진구 광나루로56길 85 6층 D-69호,010-4544-4796
(경기군포)투에이치_당동,37.350837,126.944272,경기도 군포시 군포로 497 1층,010-5777-5778
(서울양천)굿모닝논스톱_신정동,37.526149,126.863300,서울특별시 양천구 오목로 233 1층 2호,010-3737-2737
(경기부천)서훈하텔레콤_소사,37.481723,126.794896,"경기도 부천시 경인옛로 25 103동B113,114호",010-8877-7182
(경기평택)포승폰(제로12팀),36.988471,126.845423,"경기 평택시 포승읍 여술4길 2,1층 상가",010-3397-9059
(경기여주)이피엘통신_홍문동,37.290019,127.634095,경기도 여주시 소양로 113 101호,010-5856-4211
(서울은평)손전화기텔레콤_역촌동,37.602886,126.911061,"서울 은평구 연서로3길 43,(역촌동) 좌측 코너",010-8330-8242
(서울마포)휴대폰성지 이노_홍대점,37.556089,126.923438,서울특별시 마포구 양화로 156지하1층 119-1호,010-2274-6336
(인천계양)HS계양_작전동,37.532077,126.725985,"인천 계양구 주부토로425번길 16,1층 104호 (작전동,비전스쿨) 상가번지",010-9238-2034
(서울서대문)신지교_남가좌,37.577500,126.923875,"서울 서대문구 증가로 124,1층 (남가좌동,홍남빌딩) 일부 휴대폰도매센터",010-2499-8775
(강원원주)해랑정보통신(강원일반)_원주단구점,37.329845,127.949281,"강원 원주시 남원로534번길 28, 1동 2호",033-765-0460
(경기화성)맥스모바일_반송,37.206548,127.073075,경기도 화성시 동탄중심상가2길 37 103호,010-5479-4770
(경기이천)우리모바일_중리동,37.279437,127.444502,경기도 이천시 중리천로 64 1층,010-3325-1500
(경기남양주)와이에스모바일_다산동,37.622718,127.152902,경기도 남양주시 다산중앙로 105-8 1층,010-7118-61111
(경기파주)파주휴대폰성지 운정점,37.729092,126.734166,경기도 파주시 청암로17번길 41 105호,010-8295-2725
(경기남양주)본앤코리아(강원본가)_오남본가,37.661287,127.179040,"경기 남양주시 진건읍 진건오남로 117,101호",010-2000-1745
(경기이천)푸른통신(강원일반)_중리동,37.277941,127.442472,경기도 이천시 어재연로 3 1층 101호,010-4321-0002
(경기김포)김포휴대폰성지 휴가파_구래동,37.645148,126.625599,경기도 김포시 김포한강9로 95 107호,010-9699-9568
(경기부천)제이제이모바일_상동,37.488839,126.755317,"경기 부천시 원미구 부일로 223,1동 1층 138호 (상동,일공이공)",010-4229-0908
(경기성남)성남통신_백현동,37.392064,127.109163,"경기 성남시 분당구 판교역로 136,1067호 (백현동,힐스테이트판교역) (7-1블럭)판매시설 제지1층",010-5514-9727
(경기이천)폰아울렛(강원일반)_관고동,37.282210,127.438730,경기도 이천시 영창로 143-1,010-9041-8472
(경기안양)폰스토리 관양점,37.404240,126.965984,경기도 안양시 동안구 관악대로 388 1층 폰스토리,010-8365-5655
(인천남동)주연정보통신_만수동,37.443234,126.737661,인천광역시 남동구 장승남로 48 1층 103호,010-8885-8447
(서울노원)휴대폰성지 노원_상계동,37.655351,127.063753,서울특별시 노원구 노해로 507 1046호,010-7135-9250
(경기광명)티에스씨 모바일_일직동,37.418756,126.882613,"경기 광명시 양지로 19,어반브릭스동 129호 (일직동,어반브릭스)",010-9995-8400
(강원원주)다온모바일(강원일반)_중앙동,37.349388,127.949388,강원특별자치도 원주시 원일로 1021층 다온모바일,010-2268-2369
(경기평택)휴대폰멀티샵 법원점(나우),37.009436,127.096436,"경기도 평택시 평남로 1035, 102호",010-4562-7010
(서울양천)신정통신(도리양천)_신정동,37.524970,126.854860,서울특별시 양천구 오목로 157 1층,010-8888-4988
(서울양천)위너TFK_신월,37.516625,126.841873,"서울 양천구 남부순환로83길 17,상가동 54호 (신월동,목동센트럴아이파크위브1단지)",010-4083-9841
(경기부천)제이디모바일 송내점_상동,37.491285,126.752862,"경기도 부천시 상일로 96, 1층 104호",032-322-7801
(경기수원)제이앤컴퍼니_세류동,37.266266,127.011644,"경기 수원시 권선구 효원로 90,107호 (세류동)",010-3333-3398
(경기수원)대박폰_매탄점,37.259324,127.043273,"경기 수원시 영통구 효원로 381,1동 1층 104호 (매탄동,새롬프라자) 16차",010-5675-6835
(경기안성)주 이루다홀딩스-지점(공도폰),36.989883,127.138790,"경기 안성시 공도읍 진사길 34,에이동 1층 118호(주은청설아파트 상가)",010-6423-5306
(서울노원)미소통신_상계동,37.665816,127.066601,서울특별시 노원구 한글비석로52길 301 층,010-3503-8778
(인천부평)매직모바일 부평점,37.517830,126.732727,인천광역시 부평구 평천로 381 1층,010-6404-6323
(경기김포)휴대폰성지 휴가파 김포점,37.645150,126.625583,"경기 김포시 김포한강9로 95,107호 (구래동,센타프라자)",010-8295-2725
(경기평택)평택휴대폰성지 청북폰,37.018005,126.915769,"경기 평택시 청북읍 안청로 336,110호 (골드테라스)",010-3397-9059
(서울영등포)삼성정보통신_영등포,37.515924,126.907344,서울특별시 영등포구 경인로 846역전지하상가 47호,010-5894-6894
